service_id,date,exception_type
WD,20260101,2
SAT,20260101,2
SUN,20260101,2
ALL,20260101,1
WD,20260201,2
SAT,20260201,2
SUN,20260201,2
ALL,20260201,1
WD,20260407,2
SAT,20260407,2
SUN,20260407,2
ALL,20260407,1
WD,20260418,2
SAT,20260418,2
SUN,20260418,2
ALL,20260418,1
WD,20260501,2
SAT,20260501,2
SUN,20260501,2
ALL,20260501,1
WD,20260701,2
SAT,20260701,2
SUN,20260701,2
ALL,20260701,1
WD,20260801,2
SAT,20260801,2
SUN,20260801,2
ALL,20260801,1
WD,20260825,2
SAT,20260825,2
SUN,20260825,2
ALL,20260825,1
WD,20261225,2
SAT,20261225,2
SUN,20261225,2
ALL,20261225,1
WD,20261226,2
SAT,20261226,2
SUN,20261226,2
ALL,20261226,1
