fare_id,price,currency_type,payment_method,transfers,agency_id
FARE_101,307,RWF,0,0,PLT
FARE_102,741,RWF,0,0,PLT
FARE_103,484,RWF,0,0,PLT
FARE_105,355,RWF,0,0,PLT
FARE_108,256,RWF,0,0,PLT
FARE_109,306,RWF,0,0,PLT
FARE_112,307,RWF,0,0,PLT
FARE_120,295,RWF,0,0,PLT
FARE_124,741,RWF,0,0,PLT
FARE_125,267,RWF,0,0,PLT
FARE_106,269,RWF,0,0,PLT
FARE_107,384,RWF,0,0,PLT
FARE_111,420,RWF,0,0,PLT
FARE_113,227,RWF,0,0,PLT
FARE_114,224,RWF,0,0,PLT
FARE_115,291,RWF,0,0,PLT
FARE_118,565,RWF,0,0,PLT
FARE_202,340,RWF,0,0,PLT
FARE_203,390,RWF,0,0,PLT
FARE_204,422,RWF,0,0,PLT
FARE_208,278,RWF,0,0,PLT
FARE_211,364,RWF,0,0,PLT
FARE_213,323,RWF,0,0,PLT
FARE_214,422,RWF,0,0,PLT
FARE_205,377,RWF,0,0,PLT
FARE_206,382,RWF,0,0,PLT
FARE_212,383,RWF,0,0,PLT
FARE_215,408,RWF,0,0,PLT
FARE_301,403,RWF,0,0,PLT
FARE_302,355,RWF,0,0,PLT
FARE_303,301,RWF,0,0,PLT
FARE_304,371,RWF,0,0,PLT
FARE_306,301,RWF,0,0,PLT
FARE_308,484,RWF,0,0,PLT
FARE_309,301,RWF,0,0,PLT
FARE_313,301,RWF,0,0,PLT
FARE_316,204,RWF,0,0,PLT
FARE_318,301,RWF,0,0,PLT
FARE_322,355,RWF,0,0,PLT
FARE_325,420,RWF,0,0,PLT
FARE_305,371,RWF,0,0,PLT
FARE_310,301,RWF,0,0,PLT
FARE_311,301,RWF,0,0,PLT
FARE_314,339,RWF,0,0,PLT
FARE_315,387,RWF,0,0,PLT
FARE_317,342,RWF,0,0,PLT
FARE_321,462,RWF,0,0,PLT
FARE_401,243,RWF,0,0,PLT
FARE_402,307,RWF,0,0,PLT
FARE_403,420,RWF,0,0,PLT
FARE_404,383,RWF,0,0,PLT
FARE_405,484,RWF,0,0,PLT
FARE_406,377,RWF,0,0,PLT
FARE_407,306,RWF,0,0,PLT
FARE_414,310,RWF,0,0,PLT
FARE_415,205,RWF,0,0,PLT
FARE_416,383,RWF,0,0,PLT
FARE_417,205,RWF,0,0,PLT
FARE_418,278,RWF,0,0,PLT
FARE_419,307,RWF,0,0,PLT
