fare_id,route_id,origin_id,destination_id,contains_id
FARE_101,101,,,
FARE_102,102,,,
FARE_103,103,,,
FARE_105,105,,,
FARE_108,108,,,
FARE_109,109,,,
FARE_112,112,,,
FARE_120,120,,,
FARE_124,124,,,
FARE_125,125,,,
FARE_106,106,,,
FARE_107,107,,,
FARE_111,111,,,
FARE_113,113,,,
FARE_114,114,,,
FARE_115,115,,,
FARE_118,118,,,
FARE_202,202,,,
FARE_203,203,,,
FARE_204,204,,,
FARE_208,208,,,
FARE_211,211,,,
FARE_213,213,,,
FARE_214,214,,,
FARE_205,205,,,
FARE_206,206,,,
FARE_212,212,,,
FARE_215,215,,,
FARE_301,301,,,
FARE_302,302,,,
FARE_303,303,,,
FARE_304,304,,,
FARE_306,306,,,
FARE_308,308,,,
FARE_309,309,,,
FARE_313,313,,,
FARE_316,316,,,
FARE_318,318,,,
FARE_322,322,,,
FARE_325,325,,,
FARE_305,305,,,
FARE_310,310,,,
FARE_311,311,,,
FARE_314,314,,,
FARE_315,315,,,
FARE_317,317,,,
FARE_321,321,,,
FARE_401,401,,,
FARE_402,402,,,
FARE_403,403,,,
FARE_404,404,,,
FARE_405,405,,,
FARE_406,406,,,
FARE_407,407,,,
FARE_414,414,,,
FARE_415,415,,,
FARE_416,416,,,
FARE_417,417,,,
FARE_418,418,,,
FARE_419,419,,,
