shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHP_101,-1.949400,30.109800,1,0
SHP_101,-1.953600,30.060600,2,0
SHP_102,-1.944000,30.125000,1,0
SHP_102,-1.949400,30.109800,2,0
SHP_102,-1.944100,30.061900,3,0
SHP_103,-1.953600,30.060600,1,0
SHP_103,-1.949400,30.109800,2,0
SHP_105,-1.949400,30.109800,1,0
SHP_105,-1.935000,30.080000,2,0
SHP_105,-1.944100,30.061900,3,0
SHP_108,-1.949400,30.109800,1,0
SHP_108,-2.354500,29.739500,2,0
SHP_109,-1.949400,30.109800,1,0
SHP_109,-1.928000,30.185000,2,0
SHP_112,-1.949400,30.109800,1,0
SHP_112,-1.944100,30.061900,2,0
SHP_120,-1.949400,30.109800,1,0
SHP_120,-1.990000,30.120000,2,0
SHP_124,-1.953600,30.060600,1,0
SHP_124,-1.949400,30.109800,2,0
SHP_124,-1.944000,30.125000,3,0
SHP_125,-1.949400,30.109800,1,0
SHP_125,-1.958000,30.165000,2,0
SHP_106,-1.949400,30.109800,1,0
SHP_106,-1.938000,30.151000,2,0
SHP_107,-1.949400,30.109800,1,0
SHP_107,-1.950000,30.148000,2,0
SHP_111,-1.949400,30.109800,1,0
SHP_111,-1.944000,30.125000,2,0
SHP_113,-1.949400,30.109800,1,0
SHP_113,-1.958000,30.165000,2,0
SHP_114,-1.949400,30.109800,1,0
SHP_114,-1.975000,30.158000,2,0
SHP_115,-1.949400,30.109800,1,0
SHP_115,-1.958000,30.165000,2,0
SHP_118,-1.944100,30.061900,1,0
SHP_118,-1.935000,30.080000,2,0
SHP_118,-1.975000,30.158000,3,0
SHP_202,-2.354500,29.739500,1,0
SHP_202,-1.953600,30.060600,2,0
SHP_203,-2.354500,29.739500,1,0
SHP_203,-1.953600,30.060600,2,0
SHP_204,-2.354500,29.739500,1,0
SHP_204,-1.944100,30.061900,2,0
SHP_208,-2.354500,29.739500,1,0
SHP_208,-2.200000,29.800000,2,0
SHP_211,-2.354500,29.739500,1,0
SHP_211,-1.935000,30.080000,2,0
SHP_213,-2.354500,29.739500,1,0
SHP_213,-1.953600,30.060600,2,0
SHP_213,-1.925500,30.117700,3,0
SHP_214,-2.354500,29.739500,1,0
SHP_214,-1.944100,30.061900,2,0
SHP_205,-1.953600,30.060600,1,0
SHP_205,-1.928000,30.185000,2,0
SHP_206,-1.944100,30.061900,1,0
SHP_206,-1.928000,30.185000,2,0
SHP_212,-1.944100,30.061900,1,0
SHP_212,-1.965000,30.055000,2,0
SHP_212,-1.968000,30.040000,3,0
SHP_215,-1.925500,30.117700,1,0
SHP_215,-1.953600,30.060600,2,0
SHP_215,-1.928000,30.185000,3,0
SHP_301,-1.953600,30.060600,1,0
SHP_301,-1.915000,30.108000,2,0
SHP_302,-1.925500,30.117700,1,0
SHP_302,-1.949400,30.109800,2,0
SHP_302,-1.953600,30.060600,3,0
SHP_303,-1.953600,30.060600,1,0
SHP_303,-1.900000,30.095000,2,0
SHP_304,-1.953600,30.060600,1,0
SHP_304,-1.935000,30.080000,2,0
SHP_306,-1.925500,30.117700,1,0
SHP_306,-1.900000,30.145000,2,0
SHP_308,-1.953600,30.060600,1,0
SHP_308,-1.912000,30.140000,2,0
SHP_309,-1.925500,30.117700,1,0
SHP_309,-1.915000,30.108000,2,0
SHP_313,-1.953600,30.060600,1,0
SHP_313,-1.900000,30.095000,2,0
SHP_316,-1.925500,30.117700,1,0
SHP_316,-1.912000,30.140000,2,0
SHP_318,-1.925500,30.117700,1,0
SHP_318,-1.900000,30.095000,2,0
SHP_322,-1.925500,30.117700,1,0
SHP_322,-1.950000,30.148000,2,0
SHP_325,-1.944000,30.125000,1,0
SHP_325,-1.925500,30.117700,2,0
SHP_305,-1.944100,30.061900,1,0
SHP_305,-1.935000,30.080000,2,0
SHP_305,-1.925500,30.117700,3,0
SHP_310,-1.944100,30.061900,1,0
SHP_310,-1.900000,30.095000,2,0
SHP_311,-1.944100,30.061900,1,0
SHP_311,-1.900000,30.095000,2,0
SHP_314,-1.944100,30.061900,1,0
SHP_314,-1.925500,30.117700,2,0
SHP_315,-1.944100,30.061900,1,0
SHP_315,-1.915000,30.108000,2,0
SHP_317,-1.953600,30.060600,1,0
SHP_317,-1.915000,30.108000,2,0
SHP_321,-1.944100,30.061900,1,0
SHP_321,-1.900000,30.095000,2,0
SHP_321,-1.880000,30.090000,3,0
SHP_401,-1.953600,30.060600,1,0
SHP_401,-1.965000,30.055000,2,0
SHP_402,-1.953600,30.060600,1,0
SHP_402,-1.965000,30.055000,2,0
SHP_403,-1.953600,30.060600,1,0
SHP_403,-1.885000,30.042000,2,0
SHP_404,-1.944100,30.061900,1,0
SHP_404,-2.010000,30.010000,2,0
SHP_405,-1.944100,30.061900,1,0
SHP_405,-1.976000,30.020000,2,0
SHP_406,-1.978000,30.015000,1,0
SHP_406,-1.965000,30.055000,2,0
SHP_407,-1.944100,30.061900,1,0
SHP_407,-1.885000,30.042000,2,0
SHP_414,-1.944100,30.061900,1,0
SHP_414,-1.985000,30.048000,2,0
SHP_415,-1.944100,30.061900,1,0
SHP_415,-1.953600,30.060600,2,0
SHP_416,-1.944100,30.061900,1,0
SHP_416,-1.870000,30.065000,2,0
SHP_417,-1.965000,30.055000,1,0
SHP_417,-1.985000,30.048000,2,0
SHP_418,-1.944100,30.061900,1,0
SHP_418,-1.975000,30.032000,2,0
SHP_419,-1.944100,30.061900,1,0
SHP_419,-1.850000,30.055000,2,0
