trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
T000001,05:30:00,05:30:00,s3,1,0,1,0
T000001,05:50:00,05:50:00,s2,2,1,0,0
T000002,05:50:00,05:50:00,s3,1,0,1,0
T000002,06:10:00,06:10:00,s2,2,1,0,0
T000003,06:10:00,06:10:00,s3,1,0,1,0
T000003,06:30:00,06:30:00,s2,2,1,0,0
T000004,06:20:00,06:20:00,s3,1,0,1,0
T000004,06:40:00,06:40:00,s2,2,1,0,0
T000005,06:30:00,06:30:00,s3,1,0,1,0
T000005,06:50:00,06:50:00,s2,2,1,0,0
T000006,06:40:00,06:40:00,s3,1,0,1,0
T000006,07:00:00,07:00:00,s2,2,1,0,0
T000007,06:50:00,06:50:00,s3,1,0,1,0
T000007,07:10:00,07:10:00,s2,2,1,0,0
T000008,07:00:00,07:00:00,s3,1,0,1,0
T000008,07:20:00,07:20:00,s2,2,1,0,0
T000009,07:10:00,07:10:00,s3,1,0,1,0
T000009,07:30:00,07:30:00,s2,2,1,0,0
T000010,07:20:00,07:20:00,s3,1,0,1,0
T000010,07:40:00,07:40:00,s2,2,1,0,0
T000011,07:30:00,07:30:00,s3,1,0,1,0
T000011,07:50:00,07:50:00,s2,2,1,0,0
T000012,07:40:00,07:40:00,s3,1,0,1,0
T000012,08:00:00,08:00:00,s2,2,1,0,0
T000013,07:50:00,07:50:00,s3,1,0,1,0
T000013,08:10:00,08:10:00,s2,2,1,0,0
T000014,08:00:00,08:00:00,s3,1,0,1,0
T000014,08:20:00,08:20:00,s2,2,1,0,0
T000015,08:10:00,08:10:00,s3,1,0,1,0
T000015,08:30:00,08:30:00,s2,2,1,0,0
T000016,08:20:00,08:20:00,s3,1,0,1,0
T000016,08:40:00,08:40:00,s2,2,1,0,0
T000017,08:30:00,08:30:00,s3,1,0,1,0
T000017,08:50:00,08:50:00,s2,2,1,0,0
T000018,08:40:00,08:40:00,s3,1,0,1,0
T000018,09:00:00,09:00:00,s2,2,1,0,0
T000019,08:50:00,08:50:00,s3,1,0,1,0
T000019,09:10:00,09:10:00,s2,2,1,0,0
T000020,09:00:00,09:00:00,s3,1,0,1,0
T000020,09:20:00,09:20:00,s2,2,1,0,0
T000021,09:10:00,09:10:00,s3,1,0,1,0
T000021,09:30:00,09:30:00,s2,2,1,0,0
T000022,09:30:00,09:30:00,s3,1,0,1,0
T000022,09:50:00,09:50:00,s2,2,1,0,0
T000023,09:50:00,09:50:00,s3,1,0,1,0
T000023,10:10:00,10:10:00,s2,2,1,0,0
T000024,10:10:00,10:10:00,s3,1,0,1,0
T000024,10:30:00,10:30:00,s2,2,1,0,0
T000025,10:30:00,10:30:00,s3,1,0,1,0
T000025,10:50:00,10:50:00,s2,2,1,0,0
T000026,10:50:00,10:50:00,s3,1,0,1,0
T000026,11:10:00,11:10:00,s2,2,1,0,0
T000027,11:10:00,11:10:00,s3,1,0,1,0
T000027,11:30:00,11:30:00,s2,2,1,0,0
T000028,11:30:00,11:30:00,s3,1,0,1,0
T000028,11:50:00,11:50:00,s2,2,1,0,0
T000029,11:50:00,11:50:00,s3,1,0,1,0
T000029,12:10:00,12:10:00,s2,2,1,0,0
T000030,12:10:00,12:10:00,s3,1,0,1,0
T000030,12:30:00,12:30:00,s2,2,1,0,0
T000031,12:30:00,12:30:00,s3,1,0,1,0
T000031,12:50:00,12:50:00,s2,2,1,0,0
T000032,12:50:00,12:50:00,s3,1,0,1,0
T000032,13:10:00,13:10:00,s2,2,1,0,0
T000033,13:10:00,13:10:00,s3,1,0,1,0
T000033,13:30:00,13:30:00,s2,2,1,0,0
T000034,13:30:00,13:30:00,s3,1,0,1,0
T000034,13:50:00,13:50:00,s2,2,1,0,0
T000035,13:50:00,13:50:00,s3,1,0,1,0
T000035,14:10:00,14:10:00,s2,2,1,0,0
T000036,14:10:00,14:10:00,s3,1,0,1,0
T000036,14:30:00,14:30:00,s2,2,1,0,0
T000037,14:30:00,14:30:00,s3,1,0,1,0
T000037,14:50:00,14:50:00,s2,2,1,0,0
T000038,14:50:00,14:50:00,s3,1,0,1,0
T000038,15:10:00,15:10:00,s2,2,1,0,0
T000039,15:10:00,15:10:00,s3,1,0,1,0
T000039,15:30:00,15:30:00,s2,2,1,0,0
T000040,15:30:00,15:30:00,s3,1,0,1,0
T000040,15:50:00,15:50:00,s2,2,1,0,0
